train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,7305,Maze_153,1.25,17.5,67.5,26,40.0,66.6666666666667,35.0,42.3357752475613,ExtraTreesRegressor
train,2060,Maze_28,0.5,57.5,57.5,0,150.0,100.0,0.0,1.1740271284546,ExtraTreesRegressor
train,6794,Maze_142,1.25,11.25,21.25,12,332.5,40.0,249.375,1.55864458624593,ExtraTreesRegressor
train,1954,Maze_73,1.25,10.0,22.5,14,235.0,40.0,146.875,2.42266209178126,ExtraTreesRegressor
train,161,Maze_3,0.5,3.0,10.0,12,50.0,200.0,37.5,0.843164509211827,ExtraTreesRegressor
train,10242,Maze_137,2.0,16.0,48.0,16,424.0,310.0,371.0,0.0116797846797591,ExtraTreesRegressor
test,6128,Maze_82,1.0,59.0,59.0,0,200.0,150.0,0.0,0.289632735489442,ExtraTreesRegressor
train,8673,Maze_116,1.75,15.75,43.75,18,541.0,40.0,473.375,1.34305797074707,ExtraTreesRegressor
train,9278,Maze_194,1.5,16.5,40.5,14,217.5,40.0,163.125,4.04219906447528,ExtraTreesRegressor
train,8256,Maze_111,1.75,12.25,22.75,6,40.0,130.0,35.0,5.88522865349507,ExtraTreesRegressor
train,2214,Maze_82,1.25,13.75,33.75,18,430.0,400.0,376.25,0.0045779165062951,ExtraTreesRegressor
train,3305,Maze_69,0.75,15.0,75.0,68,291.25,220.833333333333,218.4375,0.0716320841493974,ExtraTreesRegressor
train,3470,Maze_47,0.75,7.5,21.0,16,107.0,130.0,80.25,0.442565915698521,ExtraTreesRegressor
train,9634,Maze_129,1.5,16.5,55.5,22,150.0,100.0,93.75,1.03617957089893,ExtraTreesRegressor
train,4188,Maze_56,1.0,6.0,16.0,10,250.0,50.0,218.75,0.841727170307768,ExtraTreesRegressor
train,3006,Maze_41,0.75,6.0,13.5,12,40.0,130.0,35.0,3.51119842029626,ExtraTreesRegressor
train,9723,Maze_130,1.5,55.5,55.5,0,200.0,50.0,0.0,4.90643844249469,ExtraTreesRegressor
