MazeID,StepSize,SideLength,Coordinates
Maze_42,0.75,6,0 3*0.75 3*1.5 3*1.5 3.75*1.5 4.5*1.5 5.25*2.25 5.25*3 5.25*3.75 5.25*4.5 5.25*4.5 4.5*3.75 4.5*3.75 3.75*3 3.75*2.25 3.75*2.25 3*3 3*3 2.25*2.25 2.25*2.25 1.5*3 1.5*3 0.75*3.75 0.75*3.75 1.5*4.5 1.5*4.5 2.25*3.75 2.25*3.75 3*4.5 3*5.25 3*6 3
Maze_43,0.75,6.75,0 3.375*0.75 3.375*0.75 4.125*1.5 4.125*2.25 4.125*2.25 3.375*3 3.375*3.75 3.375*3.75 4.125*4.5 4.125*4.5 4.875*5.25 4.875*5.25 5.625*6 5.625*6 4.875*6 4.125*6 3.375*6.75 3.375
Maze_44,0.75,6.75,0 3.375*0.75 3.375*1.5 3.375*1.5 4.125*2.25 4.125*3 4.125*3.75 4.125*3.75 3.375*3 3.375*3 2.625*2.25 2.625*1.5 2.625*1.5 1.875*1.5 1.125*1.5 0.375*2.25 0.375*2.25 1.125*3 1.125*3.75 1.125*3.75 0.375*4.5 0.375*4.5 1.125*4.5 1.875*4.5 2.625*5.25 2.625*5.25 3.375*6 3.375*6.75 3.375
Maze_45,0.75,6.75,0 3.375*0.75 3.375*0.75 2.625*0.75 1.875*1.5 1.875*1.5 2.625*2.25 2.625*2.25 3.375*3 3.375*3 4.125*3 4.875*3.75 4.875*3.75 4.125*4.5 4.125*4.5 3.375*3.75 3.375*3.75 2.625*4.5 2.625*5.25 2.625*5.25 3.375*5.25 4.125*6 4.125*6 3.375*6.75 3.375
Maze_46,0.75,7.5,0 3.75*0.75 3.75*1.5 3.75*1.5 4.5*1.5 5.25*1.5 6*2.25 6*3 6*3 5.25*3.75 5.25*3.75 4.5*3.75 3.75*4.5 3.75*4.5 4.5*5.25 4.5*6 4.5*6 3.75*6 3*6 2.25*6.75 2.25*6.75 3*6.75 3.75*7.5 3.75
Maze_47,0.75,7.5,0 3.75*0.75 3.75*1.5 3.75*1.5 3*2.25 3*3 3*3 3.75*3 4.5*2.25 4.5*2.25 5.25*1.5 5.25*0.75 5.25*0.75 6*0.75 6.75*1.5 6.75*1.5 6*2.25 6*3 6*3.75 6*4.5 6*4.5 6.75*5.25 6.75*5.25 6*6 6*6.75 6*6.75 5.25*6.75 4.5*6.75 3.75*7.5 3.75
Maze_48,0.75,7.5,0 3.75*0.75 3.75*0.75 3*0.75 2.25*1.5 2.25*1.5 3*2.25 3*2.25 2.25*3 2.25*3 3*3 3.75*2.25 3.75*2.25 4.5*2.25 5.25*1.5 5.25*1.5 4.5*0.75 4.5*0.75 5.25*0.75 6*1.5 6*2.25 6*3 6*3.75 6*4.5 6*4.5 5.25*5.25 5.25*5.25 4.5*5.25 3.75*6 3.75*6 3*6 2.25*5.25 2.25*5.25 1.5*6 1.5*6 0.75*6.75 0.75*6.75 1.5*6.75 2.25*6.75 3*6.75 3.75*7.5 3.75
Maze_49,1,3,0 1.5*1 1.5*1 2.5*2 2.5*2 1.5*3 1.5
Maze_50,1,3,0 1.5*1 1.5*1 0.5*2 0.5*2 1.5*3 1.5
Maze_51,1,3,0 1.5*1 1.5*1 2.5*2 2.5*2 1.5*3 1.5
Maze_52,1,4,0 2*1 2*2 2*2 1*3 1*3 2*4 2
Maze_53,1,4,0 2*1 2*2 2*2 3*3 3*3 2*4 2
Maze_54,1,4,0 2*1 2*2 2*2 3*3 3*3 2*4 2
Maze_55,1,5,0 2.5*1 2.5*1 1.5*1 0.5*2 0.5*2 1.5*2 2.5*2 3.5*3 3.5*3 4.5*4 4.5*4 3.5*4 2.5*5 2.5
Maze_56,1,5,0 2.5*1 2.5*2 2.5*2 1.5*3 1.5*4 1.5*4 2.5*5 2.5
